ID, Instructions
47," Fill a 16 ounce glass with ice. Add milk. Add cardamom to espresso and stir to combine. Pour into glass. Top with sweetened condensed milk.
"
48," Place water, piloncillo, and cinnamon in a pot. Bring to a boil, reduce heat, and simmer for 8 minutes.
 Remove from heat, add coffee, and stir well. Cover pot and steep for 5 minutes. Pour through a fine mesh strainer twice or until free of any coffee granules.
"
49," Place oat milk and honey in a tall, microwave-safe cup and heat until hot, 1 to 2 minutes. Stir until well combined. Froth hot oat milk mixture with an immersion blender or with a frothing wand.
 Pour coffee into a cup. Using the back of a spoon pour frothed milk over coffee. Pour foam over frothed milk. Sprinkle with cinnamon.
"
50," Add cookie butter to hot coffee and whisk until cookie butter has dissolved. Stir in brown sugar and vanilla. Pour into a coffee mug.
 Froth hot milk with an immersion blender or with a frothing wand. Using the back of a spoon, pour frothed milk over coffee. Pour foam over frothed milk.
"
51," Gather all ingredients.
 Combine warm water, instant coffee, and sugar in a sealable jar. Seal and shake until foamy.
 Pour into a glass full of ice; add milk. Adjust to taste if necessary.
"
52," Gather all ingredients.
 Pour milk and eggnog into a steaming pitcher and heat to between 145 degrees F to 165 degrees F (65 to 70 degrees C) using the steaming wand.
 Brew a shot of espresso; pour into a mug. Pour steamed milk and eggnog into the mug, using a spoon to hold back the foam.
 Spoon foam over the top. Sprinkle nutmeg on top of foam.
"
53," In a small bowl, mix together the molasses, brown sugar, baking soda, ginger and cinnamon until well blended. Cover and refrigerate for at least 10 minutes.
 Add about a 1/4 cup of coffee to each cup, then stir in about a tablespoon of the spice mixture until dissolved. Fill cup to within an inch of the top with coffee. Stir in half and half to taste, then garnish with whipped cream and a light dusting of cloves.
"
54," Add heavy whipping cream, milk, chocolate syrup, cocoa powder and vanilla into a tall glass. Whip with a milk frother until until desired consistency is reached.
 Serve over cold brew coffee.
"
55," Break 4 ounces of the white chocolate into small pieces and place in a medium microwave-safe bowl; microwave on HIGH, stirring at 30-second intervals, until melted, about 1 1/2 minutes. Spoon about 1 tablespoon of the melted chocolate into each of 6 (1 3/4-inch) silicone ball molds. Immediately flip mold over onto a cutting board or plate to allow chocolate to drip off and coat the mold. Let stand 2 minutes. Flip back over and use an offset spatula to scrape the tops of molds to clean them off, placing any dripped chocolate back into the bowl. Place silicone mold in freezer to set, about 5 minutes. Release chocolate ""cups"" from silicone molds; set aside. Repeat with another 4 ounces of chocolate.
 While the molds chill, stir together beverage mix and pumpkin pie spice in a small bowl. Spoon 2 teaspoons of the mixture into 6 of the ""cups.""
 Place the bowl of the leftover melted chocolate back in the microwave; microwave on HIGH until melted, about 30 seconds. Spoon or pour into a small zip-top plastic bag or piping bag and snip off 1/16-inch of the corner. Pipe a thin chocolate line along the edge of the 6 filled white chocolate cups. Place remaining 6 cups on top, using the white chocolate line as glue. Smooth out with your finger, and gently place in silicone mold; freeze until set, about 5 minutes.
 Remove the balls from freezer, and dip an offset spatula in very hot water; use it to smooth out edges of the chocolate ball seam. Set aside.
 Break remaining 2 ounces of chocolate into pieces, and place in a small microwave-safe bowl; microwave on HIGH until melted, about 30 seconds. Add food coloring, and stir to combine. Place in a separate ziplock bag and snip off 1/16-inch from a corner. Pipe in a zig-zag pattern on the balls. Freeze until set, about 5 minutes.
 To serve, brew an 8- to 10-ounce cup of your favorite coffee. Place a bomb in the hot cup of coffee and stir to melt.
"
56," Combine ice, coffee, Almond Breeze Original Almondmilk, Almond Breeze Vanilla Almondmilk Creamer, chocolate syrup and chocolate chips in a blender. Blend until smooth.
 Serve in glasses.
"
57," Combine powdered sugar, cocoa powder, cinnamon, and chili powder in the bottom of a mug.
 Pour hot coffee on top and stir until dissolved. Pour in half-and-half creamer and stir.
 Top with whipped cream and sprinkle with cinnamon, if desired.
 Use flavored creamer to change it up depending on the season.
"
58," Whisk boiling water, instant coffee, and sugar together until coffee is dissolved. Continue to whisk until mixture becomes thick and forms a peak, 2 to 3 minutes.
 Pour milk into a glass. Pour the frothy coffee on top of the milk.
"
59," Pour vanilla syrup into a drinking glass.
 Add ice cubes, then pour in milk.
 Slowly pour in cold brew concentrate.
 Drizzle drink with caramel sauce.
 This recipe was developed by this Allrecipes Allstar as part of a campaign sponsored by Gevalia.
"
60," Gather all ingredients.
 Combine sweetened condensed milk, skim milk, and vanilla in an airtight container; shake well to blend. Label the container with the expiration date of the milk used.
"
61," Stir together coffee liqueur and tequila in a mug. Pour in hot coffee and top with whipped cream.
"
62," Gather all ingredients.
 Pour Baileys into a cocktail shaker.
 Pour vodka into the cocktail shaker.
 Pour espresso into the cocktail shaker.
 Add ice into the cocktail shaker; shake well.
 Strain into a martini glass. Enjoy!
"
63," Gather all ingredients.
 Combine milk and brown sugar in a saucepan over medium heat. Heat until frothy and close to simmering, about 3 minutes.
 Reduce heat to low; whisk in caramel sauce and vanilla.
 Stir in coffee.
"
64," Pour ground coffee into a French press container and add water. Place plunger lid on top and press the plunger down 1 to 2 inches to make sure all coffee grounds are fully submerged; do not press all the way down. Let coffee steep at room temperature for 16 to 18 hours.
 Strain coffee through a coffee filter in a small strainer. Transfer to an airtight bottle or jar and keep in the refrigerator for up to a week.
 Fill a glass with ice and add equal parts of cold brew and water or milk.
"
65," Pour milk into a steaming pitcher and heat to 145 to 165 degrees F (65 to 70 degrees C) using the steaming wand of an espresso machine.
 Pour espresso over vanilla syrup in a large coffee mug. Pour steamed milk over espresso, using a spoon to hold back the foam. Spoon foam over top.
"
66," Mix the ground coffee, allspice, and cinnamon in a small bowl, and place into the filter of a drip coffee maker. Pour 4 cups of water into the coffee maker, and turn on the machine. When coffee has finished dripping, pour into 2 cups. Stir in cream and sugar to taste.
"
67," You will need 8 mugs or glass coffee cups. Pour 1 ounce of coffee liqueur into each mug, then add one ounce of brandy and 1/2 ounce of creme de cacao to each serving. Fill each mug with hot coffee, garnish with a dollop of whipped cream, and top with chocolate sprinkles; serve.
"
68," Bring sugar and water to a boil in a 3-quart saucepan over medium heat. Reduce the heat and simmer for 10 minutes. Remove from the heat, stir in instant coffee, and allow to cool, 30 to 45 minutes.
 When cool, stir in vodka and vanilla extract. Pour into clean bottles. Close the bottles tightly and store in a cool dark place.
"
69," Pour hot brewed coffee into a glass mug. Stir in Irish cream liqueur.
"
70," Pour sugar into a shallow dish. Wet the rim of a wine glass or Irish coffee mug and dip in sugar to coat. Add rum and triple sec. Use a long match or lighter to carefully ignite the mixture. Turn glass slowly until sugar begins to caramelize. Pour in coffee liqueur to put out the flame. Top with hot coffee.
"
71," Combine instant coffee, milk, vanilla, sugar, ice cubes, and chocolate syrup in a blender; blend until smooth.
"
72," Gather the ingredients.
 Heat milk in a saucepan set over medium-low heat. Whisk briskly with a wire whisk to create foam.
 Brew espresso and pour into four cups. Pour in milk, holding back the foam with a spoon. Spoon foam over the top.
"
73," Pour milk into a steaming pitcher and heat to 145 to 165 degrees F (65 to 70 degrees C) using the steaming wand. Pour flavored syrup into a large coffee mug. Add espresso, then pour in steamed milk, using a spoon to hold back the foam. Spoon foam over the top.
"
74," Pour coffee into ice cube tray. Freeze until solid, or overnight.
 In a blender, combine coffee ice cubes, milk, chocolate syrup and sugar. Blend until smooth. Pour into glasses and serve.
"
75," Combine water, brown sugar, ginger, cinnamon stick, cardamom pods, cloves, bay leaves, fennel seeds, and peppercorns together in a pot; cover and boil for 20 minutes.
 Remove from the heat, add tea leaves, and allow to steep for 10 minutes. Stir milk into tea mixture and bring to a boil. Strain tea into tea cups.
 You can substitute anise seeds for fennel seeds, and honey for brown sugar if desired.
"
76," Pour soy milk into a blender. Add matcha; blend until dissolved and the mixture is smooth, about 30 seconds. Add sucralose and blend until combined, about 10 seconds.
 Fill a glass with ice and pour in green tea mixture.
"
77," Put coffee grounds in a large container. Slowly pour water over grounds.
 Cover bowl with plastic wrap and steep at room temperature for 18 to 24 hours.
 Line a strainer with several layers of cheesecloth and place atop a pitcher; strain coffee through the cheesecloth into the pitcher. Discard the grounds. To get a clearer brew, strain coffee again through coffee filters. Store in refrigerator.
"
78," Combine water and coffee grounds in a large carafe. Stir and cover. Let sit at room temperature or in the refrigerator for 12 to 18 hours.
 Pour the coffee into a bottle through a coffee filter or cheesecloth to catch the grounds.
 Fill an ice cube tray with the cold-brewed coffee and freeze until cubes are set, 6 hours to overnight. Store frozen cubes in a resealable plastic bag until ready to use.
 Fill 1 glass with coffee ice cubes and top with almond milk.
"
79," Place the espresso, caramel sauce, and sugar into a blender pitcher. Blend on high until the caramel and sugar dissolve into the espresso. Pour in the milk and add the ice; continue blending until smooth and frothy. Top with whipped cream to serve.
"
80," Blend banana, mango, juice, and yogurt in a blender until nearly smooth.
"
81," Combine the hot milk, sugar, vanilla extract, and pumpkin pie spice in a blender; blend until frothy. Pour the mixture into 3 coffee mugs to about 2/3 full. Pour 2 ounces coffee into each mug. Garnish each mug with whipped topping and pumpkin pie spice.
"
82," Blend ice, milk, marshmallow topping, espresso, cocoa powder, and sugar together in a blender until smooth; pour into a glass and top with whipped cream and graham cracker crumbs.
"
83," Gather all ingredients.
 In a coffee mug, combined espresso coffee with flavored syrup. Pour in steamed milk.
 Top with whipped cream, and sprinkle with nutmeg, cinnamon, and vanilla powder.
 Gingerbread flavored syrup is available seasonally in some markets. Look for it in the flavored syrup aisle. You can also order it from several online sources.
"
84," Whisk milk and cream together in a saucepan over high heat until hot and frothy. Off heat, stir in sugar and vanilla extract.
 Whisk hot espresso and white chocolate chips together in a mug until smooth. (If you are making two lattes, pour half into another mug.) Top with hot frothy milk; stir to combine.
"
85," Gather the ingredients.
 Pour apple cider and maple syrup into a large stainless steel saucepan.
 Place cinnamon sticks, cloves, allspice berries, orange peel, and lemon peel in the center of a square of washed cheesecloth; fold up the sides of the cheesecloth to enclose the bundle, then tie it up with a length of kitchen string. Drop the spice bundle into the cider mixture.
 Place the saucepan over moderate heat and cook until cider is very hot but not boiling, about 5 to 10 minutes.
 Remove cider from the heat. Discard the spice bundle.
 Ladle cider into big cups or mugs, adding a fresh cinnamon stick to each serving if desired.
"
86," Place gelato in an old fashioned glass and pour freshly brewed espresso over top. Serve immediately.
"
87," Combine half-and-half and brown sugar in a glass measuring cup until sugar dissolved; whip using a milk frother or small whisk.
 Pour coffee into a mug; stir in caramel sauce until dissolved. Add frothed half-and-half mixture. Serve.
"
88," In a large saucepan, combine sugar and water. Boil for 5 minutes. Remove from heat, and add cinnamon sticks, allspice berries, cloves, and ginger. Cover and let stand in warm place for 1 hour.
 Strain liquid into a large pot. Just before serving, add juices and cider and quickly bring to boil. Remove from heat and serve.
"
89," Gather all ingredients.
 Whisk flour, cinnamon, baking soda, and salt together in a medium bowl until well combined.
 Beat butter, 1 cup white sugar, and brown sugar in a large bowl with an electric mixer until creamy, at least 2 to 3 minutes.
 Beat in eggs, one at a time, then mix in vanilla.
 Gradually mix in dry ingredients until well combined. Add oats and mix until thoroughly incorporated. Cover the bowl and chill dough in the refrigerator for at least 1 hour.
 When ready to bake, preheat the oven to 375 degrees F (190 degrees C). Spray two cookie sheets with floured cooking spray. Place water in a small bowl and 2 tablespoons sugar in another small bowl. Roll chilled dough into walnut-sized balls, and place 2 inches apart on the prepared cookie sheets. Dip a large fork in water, then in sugar, and use to flatten each cookie, rewetting and resugaring as necessary.
 Bake in the preheated oven until light golden brown around the edges and centers are nearly set, 8 to 10 minutes, switching racks halfway through.
 Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely.
"
90," Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan.
 Stir sugar and melted butter together in a large bowl. Add eggs and vanilla; mix well. Combine flour, baking soda, and salt; stir into butter mixture until smooth.
 Fold in banana slices, sour cream, and walnuts; transfer into the prepared pan.
 Bake in the preheated oven until a toothpick inserted into the center of the loaf comes out clean, about 1 hour.
 Cool loaf in the pan for 10 minutes before inverting onto a wire rack to cool completely.
 Serve and enjoy!
"
91," Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C).
 Butter an 8x10-inch baking dish.
 Make the topping: Mix pecans, white sugar, brown sugar, melted butter, cinnamon, and salt together in a mixing bowl until thoroughly combined and all components are coated with butter, 3 to 4 minutes.
 Make the cake: Whisk flour, baking powder, baking soda, and salt together in a medium bowl.
 Mix sugar and butter together in a large bowl with a spatula until well blended. Whisk in eggs, one at a time, until thoroughly incorporated. Whisk in sour cream and vanilla. Gradually whisk in flour mixture until flour is just incorporated; do not overmix.
 Spread 1/2 of the batter over the bottom of the prepared baking dish, then sprinkle with 1/2 of the topping. Carefully spoon remaining batter over topping, then sprinkle with remaining topping; very gently press topping into batter.
 Bake in the preheated oven until a bamboo skewer inserted into the center comes out clean, 30 to 35 minutes.
 Let cool slightly before serving.
"
92," Preheat the oven to 350 degrees F (175 degrees C). Grease a cookie sheet or line with parchment paper.
 In a medium bowl, cream together butter and sugar until light and fluffy. Beat in eggs and vanilla. Sift together flour, cinnamon, baking powder, and salt; mix into egg mixture. Stir in hazelnuts.
 Shape dough into two 12-inch long logs; place on the prepared baking sheet and press down to 1/2-inch thickness.
 Bake for about 30 minutes in the preheated oven, or until the edges are golden and the center is firm. Remove from oven to cool on the pans. When logs are cool enough to handle, use a serrated knife to slice the logs diagonally into 1/2-inch-thick slices. Return the slices to the baking sheet.
 Bake for an additional 10 minutes, turning over once. Cool completely, and store in an airtight container at room temperature.
"
